gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
NAA60,NAA60,568.867449733555,-0.18148251781129962,0.09907434574989682,0.053212233913160434,0.14645208306957908
BCYRN1,BCYRN1,107.66226061107564,-0.3667883304745653,0.26988867118242815,0.053272697421082316,0.14656296550481063
MYOCD,MYOCD,123.20547222344811,0.38225270107734,0.30748952155178344,0.05326631984156385,0.14656296550481063
DEPDC5,DEPDC5,198.79369400969676,-0.2652521858360574,0.15293193034343425,0.05336981086398886,0.1468023441959285
PHF8,PHF8,599.6602964808366,0.18356918965832933,0.10033934752590018,0.053542265913840856,0.14724883237974518
ITFG3,ITFG3,2327.7715808508574,0.15003996437262643,0.08122535395060161,0.05361290073456049,0.1474151844762357
LY75,LY75,50.72491372458386,0.3965715131453484,0.32193101419237846,0.05366342454034007,0.14752618640427645
PET112,PET112,319.40857332629616,-0.2316616131261749,0.1318460420508905,0.053743844827358375,0.14771931923887435
CDAN1,CDAN1,312.05565038492944,-0.2146239294635132,0.12015886683492535,0.053823783353229036,0.14791105510479755
NAGLU,NAGLU,1553.6141214316353,0.14751912743041348,0.07986177047219903,0.054029060314549286,0.14842126504589115
STXBP3,STXBP3,802.0604015597062,0.18284810519679226,0.10013619693077275,0.05402987616681935,0.14842126504589115
XRCC6BP1,XRCC6BP1,107.88979060565876,-0.30249132680261587,0.18876745262618347,0.05409560598581007,0.14857373523021447
AKR1C1,AKR1C1,12053.471207661156,0.3701628319610146,0.45051023951559405,0.054120000327431625,0.14861264123176227
GXYLT1,GXYLT1,655.9982160634299,0.22149665776522795,0.12534692353106738,0.05418716796877779,0.14876896512062973
SCML1,SCML1,430.23925075079353,0.2247624827599012,0.12776515594116544,0.054279622709890535,0.14896649761088016
TMEM69,TMEM69,386.41497303822024,-0.21053549012956965,0.11839826349011585,0.054269954050719466,0.14896649761088016
EMD,EMD,794.8642287476271,0.18745107709910025,0.10313770198709696,0.05430168786882613,0.14899890897944756
AOC3,AOC3,312.6162718626182,0.29110002211459224,0.17854875309203405,0.054320449617133684,0.14902224556029744
ZNF568,ZNF568,155.97004326026303,-0.26633036954063766,0.15745565966547376,0.05438613093657592,0.1491742677699663
CYP21A2,CYP21A2,9.9878647591017,-0.368118230847086,0.5086519429307497,0.054435636834010356,0.14925370212518144
KDM4B,KDM4B,1284.2995099849404,0.1572617107674921,0.08508311960855733,0.05442795188230745,0.14925370212518144
SSR4P1,SSR4P1,44.14544352344851,0.390281793498508,0.30850019436185794,0.054453659446461536,0.14927494681087541
ANXA5,ANXA5,24049.386096084232,0.1519498877433451,0.08061257216694423,0.0544890467055734,0.14928745230723664
B3GNT2,B3GNT2,233.0279109714653,0.23633235696718077,0.134974271043457,0.054472556458500396,0.14928745230723664
LOC102606465,LOC102606465,54.1228362095305,-0.3655101142606187,0.26167282564661204,0.054482993026310635,0.14928745230723664
MIR503HG,MIR503HG,58.3001453090279,-0.39554464322795635,0.3705406070329291,0.05465338599450831,0.14970947306074872
LOC100128361,LOC100128361,31.119112255529473,-0.40912998059121736,0.3684651402563006,0.05478009029968255,0.14999998717755142
TRAPPC1,TRAPPC1,1360.5921296234847,0.1553204568360037,0.08397132343131673,0.05477760034104754,0.14999998717755142
PRKCA,PRKCA,3617.5835305441497,0.1776103837441645,0.09811257755669245,0.054886319297140045,0.15026254627249816
FAM162A,FAM162A,628.8945009605254,-0.22675145158670612,0.12975885395951467,0.054918175766899655,0.15032143476211096
ZNF574,ZNF574,255.57729951296278,-0.23995288781788734,0.13859784004999787,0.05504800801504321,0.15064842879083873
ASNSD1,ASNSD1,1025.5229992492177,0.1898365270329253,0.10515895294794556,0.055092876790508206,0.15074282615617585
CCDC169-SOHLH2,CCDC169-SOHLH2,26.750773512915593,-0.05128786073940195,0.3256328480775895,0.05511633960106508,0.1507786288954763
ZADH2,ZADH2,612.3215038735672,-0.18046774479816283,0.09849004254740347,0.05515766573903956,0.15086327664203797
TVP23B,TVP23B,660.548626053815,0.19397459328873842,0.10827974807860245,0.05522996175431318,0.15103258315987506
PITRM1,PITRM1,1570.633197942112,0.16679426768283162,0.09105421959862212,0.05525273741433992,0.15106012347847528
PPM1A,PPM1A,1256.179175452392,0.1952088881879242,0.1088214975650338,0.05526082705541304,0.15106012347847528
P4HTM,P4HTM,426.8546947663046,0.19594066082317346,0.10875407465439878,0.05528156835050717,0.15108839476382968
PLD3,PLD3,5842.217812192331,-0.13461975086482603,0.07088396230955545,0.05536993601027095,0.15130144824021566
WDFY3,WDFY3,2315.9046719874423,0.2015121245532453,0.11454154481952648,0.055383058696784185,0.151308849154866
RRS1,RRS1,157.32785505565994,0.2772284518198431,0.16849041957141073,0.055459216618042304,0.15146322682527044
TLE6,TLE6,10.253682344933917,0.3548439474757836,0.5001658344869078,0.05546041480559149,0.15146322682527044
COPS6,COPS6,1292.4484842451586,-0.17460311313010027,0.09592059828569548,0.05548347104018161,0.15149771673422263
ZNF213,ZNF213,295.62331973009617,-0.24389728735859367,0.14258932476730998,0.05551849733447062,0.1515648718099443
TRABD,TRABD,392.04996648974264,0.23824501633080436,0.13979012100137983,0.05560411827933613,0.1517700985309928
KATNBL1,KATNBL1,274.6751564703405,0.24181558708552675,0.1407565338876233,0.05561732809954296,0.15177764086368514
DBN1,DBN1,3395.0105711208516,-0.17633835023838826,0.09778285408397486,0.05567104617212354,0.15187958829171813
MFAP3L,MFAP3L,37.14576827523556,0.4036618171147817,0.3554121790217515,0.05568604630944886,0.15187958829171813
SIGIRR,SIGIRR,159.88701324269104,0.2647062968845023,0.15764769354295713,0.05567575225238036,0.15187958829171813
BDP1,BDP1,938.6429007304564,0.1693995905100557,0.09306543909640916,0.055762482455212176,0.15205951719064897
FBLN2,FBLN2,19203.023303509348,-0.14836115100660946,0.08010815550295636,0.05578575685487918,0.15209443823316562
CCDC124,CCDC124,645.5162638190483,0.19972705412544983,0.11158107932607426,0.055847121665475584,0.15218080131271655
COPS7B,COPS7B,458.76424223070046,-0.20467698595011408,0.11507454378343906,0.05583300462819262,0.15218080131271655
IL1R1,IL1R1,11846.47181443372,0.22319761869776036,0.12975264781931237,0.05585638211718537,0.15218080131271655
KIAA1462,KIAA1462,3992.2785758569094,0.1754104900032056,0.09794946458351397,0.05585933053897153,0.15218080131271655
