[2026-06-26 06:26:13,570] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for salmon_plot: found old_data = False
[2026-06-26 06:26:13,570] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for salmon_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,578] multiqc.base_module                                [DEBUG  ]  salmon: deleting attribute self.salmon_meta
[2026-06-26 06:26:13,579] multiqc.base_module                                [DEBUG  ]  salmon: deleting attribute self.salmon_fld
[2026-06-26 06:26:13,579] multiqc.base_module                                [DEBUG  ]  salmon: deleting attribute self.salmon_lfc
[2026-06-26 06:26:13,579] multiqc.core.exec_modules                          [DEBUG  ]  Running module: fastqc
[2026-06-26 06:26:13,583] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '11/SRX384345_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,585] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '21/SRX384345_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,585] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '12/SRX384345_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,587] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '22/SRX384345_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,587] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '40/SRX384346_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,589] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '44/SRX384346_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,589] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '41/SRX384346_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,590] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '45/SRX384346_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,591] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '50/SRX384349_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,591] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '5/SRX384349_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,592] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '6/SRX384349_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,594] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '51/SRX384349_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,594] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '17/SRX384350_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,594] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '9/SRX384350_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,595] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '10/SRX384350_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,597] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '18/SRX384350_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,597] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '46/SRX384353_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,598] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '23/SRX384353_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,598] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '47/SRX384353_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,599] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '24/SRX384353_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,599] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '33/SRX384354_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,599] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '3/SRX384354_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,601] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '4/SRX384354_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,603] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '34/SRX384354_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,603] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '13/SRX384357_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,604] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '37/SRX384357_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,604] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '38/SRX384357_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,604] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '14/SRX384357_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,606] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '7/SRX384358_raw_1_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,607] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '25/SRX384358_trimmed_1_val_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,607] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '26/SRX384358_trimmed_2_val_2_fastqc.zip' as it didn't match the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,607] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Selecting '8/SRX384358_raw_2_fastqc.zip' as it matched the path_filters for 'FastQC (raw)'
[2026-06-26 06:26:13,608] multiqc.modules.fastqc.fastqc                      [INFO   ]  Found 16 reports
[2026-06-26 06:26:13,610] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_sequence_counts_plot: found old_data = False
[2026-06-26 06:26:13,610] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_sequence_counts_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,620] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_base_sequence_quality_plot: found old_data = False
[2026-06-26 06:26:13,620] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_base_sequence_quality_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,630] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_sequence_quality_scores_plot: found old_data = False
[2026-06-26 06:26:13,630] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_sequence_quality_scores_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,646] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_sequence_gc_content_plot: found old_data = False
[2026-06-26 06:26:13,646] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_sequence_gc_content_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,656] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_base_n_content_plot: found old_data = False
[2026-06-26 06:26:13,656] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_per_base_n_content_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,664] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_sequence_duplication_levels_plot: found old_data = False
[2026-06-26 06:26:13,664] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_sequence_duplication_levels_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,669] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_top_overrepresented_sequences_table: found old_data = False
[2026-06-26 06:26:13,670] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_top_overrepresented_sequences_table: no old data or empty, using new data only
[2026-06-26 06:26:13,682] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_adapter_content_plot: found old_data = False
[2026-06-26 06:26:13,682] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw_adapter_content_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,688] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw-status-check-heatmap: found old_data = False
[2026-06-26 06:26:13,688] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for fastqc_raw-status-check-heatmap: no old data or empty, using new data only
[2026-06-26 06:26:13,695] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_fastqc_fastqc_raw.txt
[2026-06-26 06:26:13,695] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_fastqc_fastqc_raw.json
[2026-06-26 06:26:13,695] multiqc.base_module                                [DEBUG  ]  fastqc_raw: deleting attribute self.order_of_duplication_levels
[2026-06-26 06:26:13,695] multiqc.base_module                                [DEBUG  ]  fastqc_raw: deleting attribute self.status_colours
[2026-06-26 06:26:13,695] multiqc.core.exec_modules                          [DEBUG  ]  Running module: cutadapt
[2026-06-26 06:26:13,709] multiqc.modules.cutadapt.cutadapt                  [INFO   ]  Found 16 reports
[2026-06-26 06:26:13,710] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_cutadapt.txt
[2026-06-26 06:26:13,710] multiqc.report                                     [DEBUG  ]  Wrote data file multiqc_cutadapt.json
[2026-06-26 06:26:13,710] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for cutadapt_filtered_reads_plot: found old_data = False
[2026-06-26 06:26:13,710] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for cutadapt_filtered_reads_plot: no old data or empty, using new data only
[2026-06-26 06:26:13,718] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for cutadapt_trimmed_sequences_plot_3: found old_data = False
[2026-06-26 06:26:13,718] multiqc.plots.plot                                 [DEBUG  ]  merge_with_previous for cutadapt_trimmed_sequences_plot_3: no old data or empty, using new data only
[2026-06-26 06:26:13,724] multiqc.base_module                                [DEBUG  ]  cutadapt: deleting attribute self.cutadapt_data
[2026-06-26 06:26:13,724] multiqc.base_module                                [DEBUG  ]  cutadapt: deleting attribute self.cutadapt_length_counts
[2026-06-26 06:26:13,724] multiqc.base_module                                [DEBUG  ]  cutadapt: deleting attribute self.cutadapt_length_exp
[2026-06-26 06:26:13,724] multiqc.base_module                                [DEBUG  ]  cutadapt: deleting attribute self.cutadapt_length_obsexp
[2026-06-26 06:26:13,724] multiqc.core.exec_modules                          [DEBUG  ]  Running module: fastqc
[2026-06-26 06:26:13,726] multiqc.base_module                                [DEBUG  ]  fastqc/zip - Skipping '11/SRX384345_raw_1_fastqc.zip' as it didn't match the path_filters for 'FastQC (trimmed)'
