ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0016114,terpenoid biosynthetic process,19,-0.6226763883484315,-1.5351831437431236,0.03246713384155449,0.3586349222122808,0.31559206448017363,1823,"tags=32%, list=14%, signal=27%",4598/3157/216/8644/220/5947,0.3217759180753611
GO:0038003,G protein-coupled opioid receptor signaling pathway,7,-0.7959465787616861,-1.5347083411763744,0.02411518548897606,0.3195942528347143,0.28123700119868655,5,"tags=14%, list=0%, signal=14%",114,0.35248785758361917
GO:0019755,one-carbon compound transport,4,-0.912001280747092,-1.5346102968037791,0.009074630836633091,0.21141729222965427,0.18604328688903124,61,"tags=50%, list=0%, signal=50%",3039/360,0.3807304007227924
GO:0044342,type B pancreatic cell proliferation,10,0.7368697237170457,1.533488805327871,0.04090344784317204,0.4077715499104006,0.3588313833986599,865,"tags=40%, list=7%, signal=37%",54206/8013/3164/1992,0.3217759180753611
GO:0006665,sphingolipid metabolic process,107,0.4632652245956341,1.5327625472552608,0.012511192021130142,0.24856951493508198,0.2187365522054885,1673,"tags=31%, list=13%, signal=27%",8707/55852/3995/94101/5562/84002/55331/5587/84725/142891/2531/8705/166929/7357/8877/64834/124222/91012/253782/53947/2583/9218/27163/8708/57704/221/375298/2526/30815/60481/23659/8560/2760,0.3807304007227924
GO:0005978,glycogen biosynthetic process,37,0.5464661595960482,1.532231557819037,0.03618763858958803,0.37882891911269223,0.33336240634368786,1995,"tags=43%, list=16%, signal=37%",8660/10580/7360/5167/3667/51763/3643/5509/178/2632/3481/5499/2887/34/79660/55276,0.3217759180753611
GO:0009250,glucan biosynthetic process,37,0.5464661595960482,1.532231557819037,0.03618763858958803,0.37882891911269223,0.33336240634368786,1995,"tags=43%, list=16%, signal=37%",8660/10580/7360/5167/3667/51763/3643/5509/178/2632/3481/5499/2887/34/79660/55276,0.3217759180753611
GO:0019883,antigen processing and presentation of endogenous antigen,19,-0.6209295693266119,-1.5308764329577988,0.03382700161777925,0.36627944044618627,0.3223190984134907,3384,"tags=68%, list=26%, signal=50%",3134/3077/567/80329/6891/3106/51752/3136/64167/3105/79465/972/353091,0.3217759180753611
GO:0021761,limbic system development,49,-0.5070741612502605,-1.5302612785814016,0.016386524687133343,0.26666411481401514,0.23465946371814675,1583,"tags=27%, list=12%, signal=23%",23135/5649/5728/10501/4192/79625/1021/2146/477/7846/2044/2258/2263,0.35248785758361917
GO:0014854,response to inactivity,6,0.8228419853078248,1.5296782138870524,0.044988404538909135,0.4308758940423092,0.3791627767221841,1938,"tags=83%, list=15%, signal=71%",114907/6331/847/5290/1605,0.3217759180753611
