gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
FGF14-AS2	FGF14-AS2	17	11	17	13	16	15	5	11
FGF14-IT1	FGF14-IT1	1	3	1	0	3	2	0	0
FGF16	FGF16	0	1	1	0	0	0	0	0
FGF17	FGF17	8	5	6	7	6	4	3	5
FGF18	FGF18	33	34	71	51	8	7	44	86
FGF19	FGF19	0	0	0	0	0	0	0	0
FGF2	FGF2	1639.874	1163.05	2151.46	1018.023	2213.465	2582.757	1361.109	1214.929
FGF20	FGF20	1	0	0	0	0	1	0	0
FGF21	FGF21	0	0	0	0	0	0	0	0
FGF22	FGF22	1	1	0	5	0	9	1	9
FGF23	FGF23	0	0	0	0	0	0	0	0
FGF3	FGF3	0	0	0	0	0	0	0	0
FGF4	FGF4	0	0	0	0	0	0	0	0
FGF5	FGF5	1474.032	959	1505.741	780.097	2602.782	3573.797	1458.538	1024
FGF6	FGF6	0	0	0	0	0	0	0	0
FGF7	FGF7	8868.489	7004.477	8890.788	5589.166	10821.339	10153.984	9387.406	7409.177
FGF8	FGF8	0	0	1	0	0	0	0	0
FGF9	FGF9	137	254	392	140	75	65	98	91
FGFBP1	FGFBP1	0	0	0	0	0	0	0	0
FGFBP2	FGFBP2	0	0	0	0	0	0	0	0
FGFBP3	FGFBP3	18	8	21	6	12	10	23	9
FGFR1	FGFR1	15363.254	13720.445	17466.313	9764.486	16346.648	22212.268	14429.841	15739.584
FGFR1OP	FGFR1OP	276	183	321	157	363	315	215	182
FGFR1OP2	FGFR1OP2	463	449.731	574.213	299.192	563	560.854	439	471.999
FGFR2	FGFR2	70	10	38	7	9	5	69	13
FGFR3	FGFR3	16	20	9	3	3	6	9	11
FGFR4	FGFR4	414.999	275	461	125.001	299.001	281.001	352.021	194.999
FGFRL1	FGFRL1	543	426.966	703.316	400	794.297	694	566.016	702.19
FGG	FGG	0	0	0	0	0	0	0	0
FGGY	FGGY	127	115	286.361	133	281	172	195.999	192.001
FGL1	FGL1	0	0	0	0	0	0	0	0
FGL2	FGL2	72	25	312	131.144	123	111.033	650.168	321.034
FGR	FGR	0	0	2	0	1	0	0	0
FH	FH	839.061	834	806.094	638	1104.011	1493	783.001	1169.024
FHAD1	FHAD1	1	0	0	0	1	1	1	0
FHDC1	FHDC1	21	20	18	5	22	13	10	20
FHIT	FHIT	28	16	31	12	36	25	37	23
FHL1	FHL1	7279.3	8680.511	11294.659	8411.291	8491.027	15939.492	9220.124	13704.302
FHL2	FHL2	4126.366	4381.612	5748.182	3541.607	4263.893	7456.125	3046.72	3584.71
FHL3	FHL3	407.528	374	378	229	445	735	398.031	404
FHL5	FHL5	0	1	0	0	2	4	0	1
FHOD1	FHOD1	507.004	248	425	127.007	695	491	437	238.001
FHOD3	FHOD3	1997.042	2107.983	4209.178	2133.884	3144.703	5335.007	2190.987	2142.405
FIBCD1	FIBCD1	82	36	77	37	861	834	102	97
FIBIN	FIBIN	1494	2777.539	2327.861	2857.355	1499.39	3218.45	1245.009	4730.011
FIBP	FIBP	925.999	881	1004.618	617.182	952.999	1301	618.805	741
FICD	FICD	90	87	127.023	64	107	172	95	110
FIG4	FIG4	503.001	375	699	347	544.029	599	433.874	484
FIGF	FIGF	176	126	454.034	139.064	204.677	164.242	213.656	69
FIGLA	FIGLA	0	0	0	0	0	0	0	0
FIGN	FIGN	166	101	174.001	61	238	189.999	148.019	108
FIGNL1	FIGNL1	195	137	206.001	87	185.013	213	150.053	118
FIGNL2	FIGNL2	8	6	23	14	7	11	13	8
FILIP1	FILIP1	219	189	185	51	202	101	131	101
FILIP1L	FILIP1L	2403	1533.65	4382.476	1203.057	2828.407	2520.008	1654.173	1238
FIP1L1	FIP1L1	873	706.127	1173.322	648	1309.105	1248.378	928	830.632
FIRRE	FIRRE	2	0	1	0	2	2	1	0
FIS1	FIS1	1019.234	967.021	1379.48	678.849	1099.172	1447	1025.456	898.154
FITM1	FITM1	3	0	1	0	3	1	0	2
FITM2	FITM2	75.087	99	65	42	78	86	50	66
FIZ1	FIZ1	150	138.163	136	92	150	190	120	120
FJX1	FJX1	122.02	144	159	110	103	263	123	201
FKBP10	FKBP10	6916.305	5530.342	6332.088	3364.09	7698.691	8386.765	6005.006	5577.969
FKBP11	FKBP11	253	219	258	186.008	209	498	217.086	245
FKBP14	FKBP14	1204.453	876	1518	772.126	1363.006	1536.598	1076.137	910.941
FKBP15	FKBP15	1155.999	1015.061	1430.661	763.019	1423.697	1833.554	972.005	984.054
FKBP1A	FKBP1A	4157.526	3706.3	4496.681	2912.851	4591.571	6446.939	3854.891	3775.644
FKBP1A-SDCBP2	FKBP1A-SDCBP2	0	11.272	0	0	0	0	32.54	26.199
FKBP1AP1	FKBP1AP1	32.148	26.107	15.075	17.122	35.183	78.563	24.129	17.095
FKBP1B	FKBP1B	34	43	67	48	51	98	43	77
FKBP2	FKBP2	537.014	532.7	610.001	321	582.611	811	380	431.772
FKBP3	FKBP3	699	715	693.221	421	799	990	527.125	534
FKBP4	FKBP4	611	559	669.181	353	763	820	517.017	491.137
FKBP5	FKBP5	261	4609.117	374	3832.134	596	5451.485	154	4125.566
FKBP6	FKBP6	6.328	2.536	3.643	3.668	10.825	7.514	4.92	6.017
FKBP7	FKBP7	905	669	816	349	754.455	662.18	653.066	548.686
