gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
USP7	USP7	1613.93332497813	1568.63134567785	1897.85055181982	1206.71063343059	2088.39504844636	2370.74660269579	1658.09558306173	1653.8027192194
USP8	USP8	1366.76919623971	1359.42779280756	1632.39202034324	1009.09264137787	1758.77804041785	2051.22227888335	1305.24333162961	1328.08580825885
USP9X	USP9X	4253.60147402862	4319.71238423652	5866.69077713331	4570.86506651129	5091.7271962066	8597.10804837423	4681.34226251127	6693.11972336895
USP9Y	USP9Y	1330.25421693099	1146.61737779181	1521.62875314474	876.747095595593	1498.11726781775	1924.75846927152	1.00199341725712	0
USPL1	USPL1	271.608883503402	260.210500054628	323.564265292312	175.430910813737	329.487325463455	398.789917088304	284.997537503668	283.846837229643
UST	UST	740.922038466946	603.726278331303	711.824173000511	496.492949164807	842.335829165124	1066.92345756309	734.642642268243	801.991947055801
UTF1	UTF1	0	0	0	0	0	0.99918818501898	0	0
UTP11L	UTP11L	469.4673099986	418.514070128034	471.667887920806	309.946007120445	625.419491505951	666.181451991303	340.134810928105	386.314664908721
UTP14A	UTP14A	326.923701524048	340.12621192935	350.844175698499	215.471647426398	515.848194431377	545.188669952143	273.748723609161	328.426777168322
UTP14C	UTP14C	715.079641664993	605.417612111988	897.094807525871	534.733519751986	989.066751549027	1201.3283262067	677.851522629613	681.056987381941
UTP15	UTP15	168.260896374828	151.128708704993	179.482446079678	127.080440619169	210.159695301268	318.648033488323	144.187963947818	151.177085416052
UTP18	UTP18	464.157460277047	465.382383148923	366.054317464525	289.747980089891	412.069463689951	543.821805744125	315.299904145005	382.713884068646
UTP20	UTP20	691.368807203594	750.844962838076	670.665161611068	602.570739520458	815.878696024348	1900.98072872548	625.289305706287	748.049592952798
UTP23	UTP23	370.607367066596	384.443347918302	395.114008424199	323.516337467972	442.692097416885	588.968260076727	318.191336680976	440.004097080661
UTP3	UTP3	506.549392848138	616.134796005909	662.32356018452	391.937894626057	636.755457149224	976.478623318386	452.19048654192	541.035062386443
UTP6	UTP6	500.634947583897	478.956541660401	604.149648552017	336.59301912676	621.231016532455	835.272673337641	412.434908651919	453.151609003783
UTRN	UTRN	3043.25678049067	2879.2805984565	4763.42580996573	3158.71828074001	3663.38614886259	7133.79576867773	3767.79378615997	5386.20173862694
UTS2	UTS2	0	0	0.909278295505267	0	1.05205557337292	1.0373011906077	0	0
UTS2B	UTS2B	19.0216539489003	19.0215189231352	38.9418141113435	18.0006039077264	48.8757569313579	55.9190543485244	16.0116242703961	16.0048821859699
UTS2R	UTS2R	0	0	0	0	0	0	0	0
UTY	UTY	314.84348841853	211.247265899545	364.855159354037	160.973475799375	411.788535308995	387.225484975936	0	0
UVRAG	UVRAG	466.969299943251	316.511092448162	568.090293776356	311.567692842402	515.250957599661	432.349536376884	417.160458364535	485.325543093332
UVSSA	UVSSA	411.054301662507	317.858471836425	224.078958889059	93.3948981566146	169.982209251674	284.085560171073	164.163132793536	185.16699627067
UXS1	UXS1	520.065568221384	564.771111285097	765.829198660779	488.474608135778	735.690222079132	1255.74971840059	602.006007448543	601.705184655889
UXT	UXT	740.248873267698	724.846820559607	745.36134837422	443.393961698151	682.996954530641	951.490020259842	593.19640750322	635.31993120026
UXT-AS1	UXT-AS1	1.34447365257403	1.27750428883678	0	2.62454525344291	0	3.22876501224079	0	0
VAC14	VAC14	1075.69890233129	862.75627970345	1142.60137956983	541.46018848175	1252.11310925472	1244.51543092466	880.711973815638	743.978075515471
VAC14-AS1	VAC14-AS1	1.00106653681031	1.00117293002074	4.99365009655948	0.999935342339531	1.00378326229725	3.99398698095041	4.00230518001905	2.00032766987692
VAMP1	VAMP1	390.523947343276	374.281040794526	554.860363338453	410.084649236174	625.233381740965	707.359889997415	480.629716296369	635.133059540213
VAMP2	VAMP2	725.34982976316	863.418705727743	901.473762906114	826.487707497923	905.970051477787	1042.21344149173	730.041898999181	977.409497641075
VAMP3	VAMP3	3119.31747884026	2777.5073241408	3779.309018461	2650.5595421583	3772.95498675839	4761.47361269035	2795.27847190384	3303.5652817498
VAMP4	VAMP4	1256.36238061903	1124.67917615656	1498.12119891062	1093.84360528143	1321.1092625933	1441.78915914526	1194.66552731032	1187.4077811727
VAMP5	VAMP5	1021.37484027263	1087.04028099707	1191.61063528587	803.049999637629	792.582888136856	1068.20199012501	875.41584023964	1055.61909544518
VAMP7	VAMP7	955.295153206031	789.335132951335	1156.10732019298	705.777411399405	1105.5536444498	1320.38022284461	835.194195941227	820.65026542928
VAMP7-2	VAMP7	0	0	0	0	0	0	0	0
VAMP8	VAMP8	21.9801198320429	20.0492429072005	36.1900501766356	7.97732804554757	10.0483051225497	12.9598069646777	31.8767036171749	12.950057970721
VANGL1	VANGL1	756.983732028892	654.751172091789	872.496209517061	421.99673887462	772.297487374216	1010.6918289545	642.745462910422	689.154935605847
VANGL2	VANGL2	18.0272744501956	5.00402501562364	4.98536174297252	1.00058653071429	3.98361890623942	0	6.00986417475591	5.00569201004422
VAPA	VAPA	2329.57391336458	2643.30027784485	2312.56297629159	2149.11403716715	2365.8020569583	3404.44036154028	1895.19083817205	2962.51292246114
VAPB	VAPB	1086.61703586136	1061.57717144262	1225.97392102749	875.194027558326	1315.62420920178	1910.93675855954	1068.83977812363	1311.80682391927
VARS	VARS	1130.13126210602	1161.07956672405	1044.2299954341	580.94318457796	1113.88189460527	1498.4942612953	824.396754387365	830.831601523913
VARS2	VARS2	340.464685737947	328.332388630634	334.073723823773	183.996061037964	364.76412950916	548.039904336586	350.126281245107	407.071011546336
VASH1	VASH1	434.007222059866	299.938149729819	344.188984787966	191.524609178527	360.577239702545	436.496044764644	241.922022584618	219.125048534317
VASH2	VASH2	37.3473552326875	2.05515468780241	25.6914078788874	2.05427927105041	50.6526669383931	2.05085360961244	29.4932477569976	1.02761111972285
VASN	VASN	4726.127437531	2894.77385868468	4954.16055021445	2269.13666306909	3427.84751895308	3473.3695668315	4199.57023436325	4104.71953531645
VASP	VASP	819.893970171269	1079.46092314621	929.96317141744	643.483932160856	805.993409074022	1732.94685498701	716.321749761573	773.063512250429
VAT1	VAT1	15463.7828502356	7351.7815741619	18175.7357231149	7359.87066608522	14772.2497640904	11119.2187598261	14712.3422006828	10947.039552225
VAT1L	VAT1L	25.0356412633515	8.00751711317453	41.8971346301975	4.00178025520462	3.98566185347928	0.998809673898924	27.0373866769823	20.0181091001631
VAV1	VAV1	0	0	0	0	0	0	0	0
VAV2	VAV2	599.062069922427	491.765776203407	684.254491456943	346.671579867693	608.813795511006	781.15121677884	629.479586287718	495.040130948768
VAV3	VAV3	2.37017492705619	1.84778551771807	0	0	0	1.84352276571237	0	0
VAV3-AS1	VAV3-AS1	0	0	0	0	0	0	0	0
VAX1	VAX1	0	0	0	0	0	0	0	0
VAX2	VAX2	6.63426442079582	15.9640306997591	10.8643649311542	11.0552538685211	12.31999783404	22.8791599150629	13.5906421226393	14.4095910903614
VBP1	VBP1	530.51935801261	458.769566160118	629.096106769474	441.864104313639	593.533687512998	695.24335841039	491.025413610826	466.121084975098
VCAM1	VCAM1	910.801347384847	62.972686376417	1191.72369693178	55.5010042980411	1332.37087412619	166.547469069927	640.464563892409	30.977997273662
VCAN	VCAN	10410.9871695334	7306.40597816136	11911.5389565956	4256.49493487475	11439.5314257453	11290.5490912258	10163.1986369837	9581.03709537568
VCL	VCL	11386.7446711314	16262.897725309	17105.8528190742	15488.1595710309	9916.5597090153	25693.3047310747	12438.3868769275	24180.9204931123
VCP	VCP	6089.64296730067	5291.09545269014	6728.98811277156	3809.78722277586	6631.9808150794	8507.77413245525	4899.97472139717	4830.88133485106
VCPIP1	VCPIP1	640.077304215924	642.743904610791	730.603283484347	526.435965577491	747.597364069706	1029.33496085889	542.079796497481	670.973119647291
VCPKMT	VCPKMT	84.5657805665999	77.3033291000664	71.5925853800931	46.4233232149983	90.9021502839628	108.65279628183	71.124051257753	50.5965496255676
VCX	VCX	0	0	0	0	0	0	0	0
VCX2	VCX2	0	0	0	0	0	0	0	0
VCX3A	VCX3A	0	0	0	0	0	0.999186579219695	0	0
VCX3B	VCX3B	0	0	0	0	0	0	0	0
VCY	VCY	0	0	0	0	0	0	0	0
VCY1B	VCY1B	0	0	0	0	0	0	0	0
VDAC1	VDAC1	2545.38909640427	2549.14154486711	2857.29644445398	1750.07735012836	2934.76288348702	5054.67464766142	2058.43566125309	2146.86996940232
VDAC2	VDAC2	1966.75727415	2412.96170870788	2074.27857408922	1826.05093281112	1939.64020602472	2886.68167671393	1454.8626749065	2385.31975103191
VDAC3	VDAC3	1056.98988601683	1020.44634834139	1350.00070028667	771.018491636777	1284.03616865351	1533.63149409759	966.575161167915	993.660279688991
VDR	VDR	1093.91475343511	774.055783084674	1331.43871359369	504.993103620807	1148.27465263068	1628.08484049506	779.231567052237	808.563032013636
VEGFA	VEGFA	2635.55523286224	960.692329493878	2536.64967652885	434.500211818619	2498.1224309076	2120.00797073844	1918.05436135264	748.360513273424
VEGFB	VEGFB	1667.66285754425	1532.8924815116	2163.36538852634	1156.82771346107	1768.22790435352	2301.59283905168	1564.58801203779	1670.15957603031
VEGFC	VEGFC	1465.79388796666	924.125739159889	1501.68287846568	658.899571082968	2152.76271251707	1620.30486542048	1126.16464838326	990.744623976643
VENTX	VENTX	1.00142070423539	1.00141577330345	0	0	0	0.998833371009497	0	0
